SourceName;LineNumber;Key Values;TRN_NB;FAM;GROUP;TYPE;CURRENCY;PL;PC;FC;MV;DELTA;GAMMA
MxG2K;1;12345;12345;EQD;OPT;OTC;EUR;208.9270741;35.60584326;95.10337185;78.21785897;69.85732438;44.09282546
MX.3;1;12345;12345;EQD;OPT;OTC;EUR;213.3212308;40;95.10337185;78.21785897;69.85732438;44.09282546
MxG2K;2;12346;12346;EQD;OPT;OTC;USD;92.57896883;58.06437491;3.704547003;30.81004691;6.798779724;77.61830702
MX.3;2;12346;12346;EQD;OPT;OTC;USD;92.57896883;58.06437491;3.704547003;30.81004691;6.798779724;77.61830702
MxG2K;3;12347;12347;EQD;OPT;OTC;EUR;139.1882641;23.5794681;34.02912399;81.57967197;50.1689342;9.451949304
MX.3;3;12347;12347;EQD;OPT;OTC;EUR;140.608796;25;34.02912399;81.57967197;50.1689342;9.451949304
MxG2K;4;12348;12348;EQD;OPT;OTC;EUR;178.1140754;70.11918605;14.75493269;93.23995669;44.62136266;27.50323663
MX.3;4;12348;12348;EQD;OPT;OTC;EUR;182.9948894;75;14.75493269;93.23995669;44.62136266;27.50323663
MxG2K;5;12349;12349;EQD;OPT;OTC;USD;218.4669474;91.91640429;84.12745288;42.42309019;38.07380696;36.69511345
MX.3;5;12349;12349;EQD;OPT;OTC;USD;218.4669474;91.91640429;84.12745288;42.42309019;38.07380696;36.69511345
MxG2K;6;12350;12350;EQD;OPT;OTC;EUR;235.5796868;90.89053353;61.32026864;83.36888461;62.06717312;71.26534662
MX.3;6;12350;12350;EQD;OPT;OTC;EUR;239.6891533;95;61.32026864;83.36888461;62.06717312;71.26534662
MxG2K;7;12351;12351;EQD;FUT;;EUR;120.0927392;80.43546186;28.19125789;11.46601941;53.81018173;6.458692285
MX.3;7;12351;12351;EQD;FUT;;EUR;123.1912579;80;28.19125789;15;55;7
MxG2K;8;12352;12352;EQD;FUT;;USD;124.4978186;18.22506904;83.02562602;23.24712352;10.71338668;50.71757044
MX.3;8;12352;12352;EQD;FUT;;USD;126.2506951;18.22506904;83.02562602;25;11;52
MxG2K;9;12353;12353;EQD;FUT;;EUR;139.3389738;52.62809725;22.79302333;63.91785324;33.7644555;66.44260519
MX.3;9;12353;12353;EQD;FUT;;EUR;139.7930233;52;22.79302333;65;34;67
MxG2K;10;12354;12354;EQD;FUT;;USD;264.7124766;96.84658284;73.44630722;94.41958651;79.44305195;41.71594867
MX.3;10;12354;12354;EQD;FUT;;USD;266.2928901;96.84658284;73.44630722;96;98;43
MxG2K;11;12355;12355;EQD;FUT;;THB;50.67468673;10.53413393;34.97546255;5.16509025;1.730246628;76.81666137
MX.3;11;12355;12355;EQD;FUT;;THB;50.67468673;10.53413393;34.97546255;5.16509025;1.730246628;76.81666137
MxG2K;12;12356;12356;EQD;FUT;;USD;157.2263998;11.41112177;89.37324879;56.44202928;42.25286503;72.89449304
MX.3;12;12356;12356;EQD;FUT;;USD;156.7843706;11.41112177;89.37324879;56;44;75
MxG2K;13;12357;12357;EQD;FUT;;USD;114.9829605;33.06158395;49.12432055;32.79705596;28.4290424;20.23722994
MX.3;13;12357;12357;EQD;FUT;;USD;115.1859045;33.06158395;49.12432055;33;30;23
MxG2K;14;12358;12358;IRD;BOND;;USD;200.8909011;72.0154119;41.88783911;86.98765014;58.72201482;78.99637937
MX.3;14;12358;12358;IRD;BOND;;USD;200.8909011;72.0154119;41.88783911;86.98765014;58.72201482;78.99637937
MxG2K;15;12359;12359;IRD;BOND;;THB;141.252;38.58460592;8.900296673;93.76709743;7.892067011;67.21403448
MX.3;15;12359;12359;IRD;BOND;;THB;141.252;38.58460592;8.900296673;93.76709743;7.892067011;67.21403448
MxG2K;16;12360;12360;IRD;BOND;;USD;188.3666103;96.27583297;71.85537193;20.2354054;7.357503334;53.31625513
MX.3;16;12360;12360;IRD;BOND;;USD;188.3666103;96.27583297;71.85537193;20.2354054;7.357503334;53.31625513
MxG2K;17;12361;12361;IRD;BOND;;THB;100.5427965;3.968191419;37.94042113;58.63418393;69.2925284;21.72466314
MX.3;17;12361;12361;IRD;BOND;;THB;100.5427965;3.968191419;37.94042113;58.63418393;69.2925284;21.72466314
MxG2K;18;12362;12362;IRD;BOND;;THB;118.0500726;11.61852701;77.53324155;28.898304;12.96001579;54.48484224
MX.3;18;12362;12362;IRD;BOND;;THB;118.0500726;11.61852701;77.53324155;28.898304;12.96001579;54.48484224
MxG2K;19;12363;12363;IRD;BOND;;USD;155.0963093;84.93179568;44.04671596;26.11779765;68.85548559;87.94490937
MX.3;19;12363;12363;IRD;BOND;;USD;155.0963093;84.93179568;44.04671596;26.11779765;68.85548559;87.94490937
